AlphaUI ID, XBMC ID, English US, Japanese,
,,,,
None,"31600""",WELCOME TO ALPHA UI,ALPHA UI へようこそ,
,,,,
None,"31601""",SHUT DOWN CONSOLE,コンソールのシャットダウン,
,,,,
None,"31602""",RESTART CONSOLE,コンソールの再起動,
,,,,
None,"31603""",SLEEP,スリープ,
,,,,
None,"31604""",Power,電源,
,,,,
None,"31605""",Launch[CR]Steam,Steam [CR] の起動,
,,,,
None,"31606""",Settings,設定,
,,,,
None,"31607""",GO TO DESKTOP,デスクトップにアクセス,
,,,,
None,"31608""",HELP,ヘルプ,
,,,,
None,"31609""",Launch System Menu at anytime by pressing LT + LB + RT + RB + Guide button.,LT + LB + RT + RB + ガイドボタンを押して、[CR] いつでもシステムメニューを起動できます。,
,,,,
None,"31610""",Video,ビデオ,
,,,,
None,"31611""",Display,ディスプレイ,
,,,,
None,"31612""",Scale to Screen,画面を拡大縮小,
,,,,
None,"31613""",Display Resolution,ディスプレイの解像度,
,,,,
None,"31614""",Refresh Rate,リフレッシュレート,
,,,,
None,"31616""",Display Settings,ディスプレイの設定,
,,,,
None,"31617""",Do you want to keep this display settings?,ディスプレイの設定を保存しますか？,
,,,,
None,"31618""",Apply,適用,
,,,,
None,"31619""",Begin Scaling,画面調整を開始,
,,,,
None,"31621""",Confirm,確認,
,,,,
None,"31620""","On most televisions, you can access the scaling tool under Menu > Settings > Picture.\n\nFrequently this option called: scale, view mode, scan, aspect ration, screen fit, or smart fit.\n\nThe goal is to ensure the tip of each triangle is in the very corner of your elevision's screen.\nFor specific instructions on screen scaling for your television, plese consult your TV's manual.",多くのテレビでは、[メニュー] > [設定] > [画像] の順に選択すると、拡大縮小のツールにアクセスできます。[CR][CR]このオプションは通常、以下のような名称で呼ばれています。 拡大縮小、表示モード、スキャン、アスペクト比、画面調整、あるいはスマート フィット。[CR][CR]目標としては各三角形の先端部分をテレビ画面の最も端の部分に確実に設定することです。\nご使用のテレビの画面調整の具体的な設定方法についてはテレビのマニュアルを参照してください。,
,,,,
None,"31635""",Audio,オーディオ,
,,,,
None,"31636""",Output,出力,
,,,,
None,"31637""",Volume,音量,
,,,,
None,"31638""",Source,ソース,
,,,,
None,"31639""",Adjust,調整,
,,,,
None,"31640""",Audio output has been changed successfully. For changes to take effect you must restart Alpha.,オーディオ出力が正しく変更されました。 変更を有効にするには、Alpha を再起動する必要があります。,
,,,,
None,"31660""",Backgrounds,背景 ,
,,,,
None,"31685""",Customization,カスタマイズ,
,,,,
None,"31686""",AlienFX,AlienFX,
,,,,
None,"31687""",Updates,アップデート,
,,,,
None,"31688""",Boot Options,起動オプション,
,,,,
None,"31710""",Network,ネットワーク,
,,,,
None,"31711""",Wifi,Wifi,
,,,,
None,"31712""",Information,情報,
,,,,
None,"31713""",Choose a wireless network,ワイヤレスネットワークを選択,
,,,,
None,"31714""",Enter network password for {0},{0} のネットワークパスワードを入力,
,,,,
None,"31715""",Error,エラー,
,,,,
None,"31716""",Unable to connect. Please check your password and try again.,接続できません。パスワードを確認して、もう一度やり直してください。,
,,,,
None,"31717""",Disconnect Wifi Network,Wifi ネットワークを切断,
,,,,
None,"31718""",Do you want to disconnect {0} ?,{0} を切断しますか？,
,,,,
None,"31719""",Unable to disconnect. Please try again.,切断できません。もう一度やり直してください。,
,,,,
None,"31720""",Network information,ネットワーク情報,
,,,,
None,"31735""",Controller,コントローラ,
,,,,
None,"31760""",HDMI in,HDMI 入力,
,,,,
None,"31761""",Activate,有効化,
,,,,
None,"31762""",Turn Off,電源オフ,
,,,,
None,"31763""",Turn On,電源オン,
,,,,
None,"31765""",Enable HDMI In,HDMI 入力を有効化,
,,,,
None,"31781""",Yes,はい,
,,,,
None,"31782""",No,いいえ,
,,,
,
None,"31783""",Cancel,キャンセル,
,,,,
None,"31784""",Restart,再起動,
,,,,
None,"31785""",OK,OK,
,,,,
None,"31800""",Hotkeys,ホットキー,
,,,,
None,"31810""",Systems Menu,システムメニュー,
,,,,
None,"31811""",Shifting Focus,フォーカスを移動,
,,,,
